date;value
2023-05-20;0
2023-05-23;11471
2023-05-25;250
2023-05-26;1917
2023-05-28;0
2023-05-30;0
2023-05-01;11320
2023-05-04;0
2023-05-07;0
2023-05-26;500
2023-05-27;4070
2023-05-01;4550
2023-05-08;9365
2023-05-12;46965
2023-05-15;25227
2023-05-20;0
2023-05-27;31095
2023-05-29;50120
2023-05-31;5810
2023-05-08;56945
2023-05-18;2100
2023-05-22;2340
2023-05-28;4630
2023-05-30;12512
2023-05-05;9467
2023-05-08;5065
2023-05-11;11200
2023-05-11;0
2023-05-14;700
2023-05-16;6570
2023-05-16;0
2023-05-17;9478
2023-05-21;0
2023-05-25;21730
2023-05-26;0
2023-05-31;53820
2022-06-01;0
2022-06-03;5685
2022-06-07;100
2022-06-08;19305
2022-06-09;0
2022-06-10;22635
2022-06-12;8095
2022-06-14;18750
2022-06-16;12182
2022-06-17;35500
2022-06-18;2862
2022-06-21;34425
2022-06-23;10335
2022-06-25;1000
2022-06-25;32455
2022-06-29;0
2022-06-02;770
2022-06-06;83045
2022-06-07;0
2022-06-09;7014
2022-06-10;2920
2022-06-14;8596
2022-06-15;12512
2022-06-17;9085
2022-06-19;200
2022-06-20;3165
2022-06-21;7000
2022-06-21;6720
2022-06-26;13055
2022-06-12;735
2022-06-18;780
2022-06-18;200
2022-06-20;4800
2022-06-20;59505
2022-06-22;4012
2022-06-01;857
2022-06-08;79915
2022-06-11;0
2022-06-11;21855
2022-06-16;4700
2022-06-17;6600
2022-06-24;20413
2022-06-07;34485
2022-06-09;20064
2022-06-09;0
2022-06-15;29940
2022-06-16;1300
2022-06-23;37305
2022-06-08;0
2022-06-10;1470
2022-06-11;0
2022-06-13;1750
2022-06-16;2400
2022-06-18;10954
2022-06-20;4170
2022-06-23;320
2022-06-25;0
2022-06-25;0
2022-06-02;43750
2022-06-11;12503
2022-06-12;0
2022-06-12;0
2022-06-14;120
2022-06-15;0
2022-06-19;908
2022-06-23;157
2022-06-26;4390
2022-06-27;7391
2022-06-28;0
2022-06-30;6499
2022-06-01;3937
2022-06-02;0
2022-06-03;27228
2022-06-08;27485
2022-06-10;81190
2022-06-12;5175
2022-06-13;17446
2022-06-16;34190
2022-06-21;400
2022-06-24;32300
2022-06-29;350
2022-06-02;3200
2022-06-03;0
2022-06-04;0
2022-06-05;3060
2022-06-05;17555
2022-06-10;4690
2022-06-15;17875
2022-06-17;980
2022-06-22;5967
2022-06-22;60380
2022-06-23;2576
2022-06-26;0
2022-06-27;6700
2022-06-01;6085
2022-06-01;28575
2022-06-04;23262
2022-06-13;6713
2022-06-14;1664
2022-06-26;0
2022-06-27;90
2022-06-03;14853
2022-06-05;1500
2022-06-06;44803
2022-06-17;6051
2022-06-18;9860
2022-06-19;0
2022-06-22;0
2022-06-24;260
2022-06-28;19790
2022-06-28;33190
2022-06-30;12076
2022-06-04;4660
2022-06-08;200
2022-06-13;86975
2022-06-20;20435
2022-06-24;2100
2022-06-29;32770
2022-06-30;37020
2022-06-02;14696
2022-06-03;55405
2022-06-04;340
2022-06-05;1900
2022-06-05;0
2022-06-07;28646
2022-06-07;94350
2022-06-09;43865
2022-06-11;5860
2022-06-30;3245
2022-06-30;0
2023-06-05;1070
2023-06-06;13457
2023-06-07;17220
2023-06-12;28476
2023-06-16;2760
2023-06-17;0
2023-06-18;0
2023-06-19;780
2023-06-19;16635
2023-06-21;59305
2023-06-25;10000
2023-06-27;0
2023-06-29;14087
2023-06-02;4065
2023-06-06;76795
2023-06-10;6040
2023-06-14;1760
2023-06-18;0
2023-06-02;6320
2023-06-03;0
2023-06-04;1370
2023-06-05;0
2023-06-08;6027
2023-06-08;39040
2023-06-09;0
2023-06-14;0
2023-06-16;0
2023-06-20;46755
2023-06-23;7214
2023-06-25;0
2023-06-26;0
2023-06-30;48695
2023-06-02;6532
2023-06-07;99310
2023-06-08;8499
2023-06-10;11662
2023-06-11;3504
2023-06-17;0
2023-06-20;32281
2023-06-29;0
2023-06-04;0
2023-06-08;0
2023-06-16;5675
2023-06-16;41535
2023-06-17;8578
2023-06-20;2150
2023-06-21;3011
2023-06-22;14299
2023-06-23;0
2023-06-25;10245
2023-06-27;11103
2023-06-30;0
2023-06-01;4280
2023-06-02;66365
2023-06-04;12470
2023-06-06;3070
2023-06-10;400
2023-06-10;0
2023-06-13;4859
2023-06-19;4040
2023-06-20;6118
2023-06-23;2190
2023-06-05;4886
2023-06-13;0
2023-06-15;4460
2023-06-17;33600
2023-06-18;24380
2023-06-23;32850
2023-06-24;5875
